Transaction Hash,Blockno,UnixTimestamp,DateTime (UTC),From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method,ChainId,Chain,Value(ETH)
0x6fb78c17f22a3b7f1d652fdc08f5f676779315eea0b37c5d8855bf6f8d432680,19494532,1737167701,2025-01-18T02:35:01.000Z,0xAe995c57baa025d9E64AF5d67defCe34765Fe00A,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,2300000000000000,0,42.57,0,0,42.57,,,MintCube,1088,Metis,0
0xfb80eb792468cfe09f0e972f9e272a85db74b8194550dd9ebdc46e25b1394748,19494335,1737165958,2025-01-18T02:05:58.000Z,0x1093A7394Afb514646Bb4866a414df304c39945e,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,2300000000000000,0,42.57,0,0,42.57,,,MintCube,1088,Metis,0
0x26f3a546d21eca2a219d6f4be11dbd594e0e8c4d1a3cb3e61e51a7bf1ab2f24c,19493521,1737158778,2025-01-18T00:06:18.000Z,0x84b3E0bd767eaCD3f52ecd0223e614694f2edc41,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,2300000000000000,0,42.57,0,0,42.57,,,MintCube,1088,Metis,0
0xb7603948bd3ce7706473fc2be4fa83f09096839a89b5a11130503549493cbf45,19493476,1737158414,2025-01-18T00:00:14.000Z,0x19655b64BC180742F8CC62129D2B29A4b76897De,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,2300000000000000,0,42.57,0,0,42.57,,,MintCube,1088,Metis,0
0x5a224ffee8c74532f0679588ae0062037ee13b07cd656f0fc2e8cd772cf76d70,19493171,1737155605,2025-01-17T23:13:25.000Z,0xf6599984411f3c39196e3C796fcA70b79ef11f02,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,2300000000000000,0,42.57,0,0,38.33,,,MintCube,1088,Metis,0
0xe7a95c0cbca0e7629b01273666d2c244bd6a21f22e317812781dec86332a7dbf,19492690,1737151268,2025-01-17T22:01:08.000Z,0x01961040c6D16574E2d384D67a728F5De53F90a0,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,2300000000000000,0,42.57,0,0,38.33,,,MintCube,1088,Metis,0
0xffe6021560cf5155dacd04b1b46b2ab595a92183416f7ac2428db19b4ce2fbb8,19492547,1737149973,2025-01-17T21:39:33.000Z,0x3A94aB4439B37889a76c1EA0b243BcEea7212729,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,2300000000000000,0,42.57,0,0,38.33,,,MintCube,1088,Metis,0
0x32e3e8637db202a36f66996a87e94eb11591e0a9acd3eee93a0b0033fe82f196,19492416,1737148781,2025-01-17T21:19:41.000Z,0x6231aF60c43c8E898D2121ABaE2f3d569Daa2852,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,2300000000000000,0,42.57,0,0,38.33,,,MintCube,1088,Metis,0
0xde14fb94f610c33a224024c4540d483849c21cf0c6e5a6579aaa9c0b877c90b9,19492411,1737148737,2025-01-17T21:18:57.000Z,0x6231aF60c43c8E898D2121ABaE2f3d569Daa2852,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,2300000000000000,0,42.57,0,0,38.33,,,MintCube,1088,Metis,0
0x780f5995e6aa6a64973ae61748a148cbbeb9c11a194c4115f2c95702dece3fb2,19492297,1737147686,2025-01-17T21:01:26.000Z,0x5eEC8950175eB0B5F42bA220d41485B946e5ACA3,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,2300000000000000,0,42.57,0,0,38.33,,,MintCube,1088,Metis,0
0xe1767ca0769264b4fa1b8d96e454fc6b33693a4ef117452ae412531e2d392ca2,19491619,1737141546,2025-01-17T19:19:06.000Z,0xBB49216821a19a0A03B22D6586e4790C4cc22C36,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,2300000000000000,0,42.57,0,0,38.33,,,MintCube,1088,Metis,0
0x2f8a16236e3e27767f96d34a96a746b557767eb2614606252dd60f6a3bc70d0d,19491529,1737140754,2025-01-17T19:05:54.000Z,0xeF41421593f0211154665670Ffb925c63243c3C6,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,2300000000000000,0,42.57,0,0,38.33,,,MintCube,1088,Metis,0
0x873d416f458090d28c65a12eea1855153b59052028f0659907906c0222c40a3e,19491394,1737139606,2025-01-17T18:46:46.000Z,0x714408B699193f7da051729c2d277D6F07FB6287,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,2300000000000000,0,42.57,0,0,38.33,,,MintCube,1088,Metis,0
0xdb2b7bb5bd0c8bd129b70bbcef84ab70f7df7eb69260f298ae5d8990ed461713,19491356,1737139252,2025-01-17T18:40:52.000Z,0xaa695A6577702153B62bDc4347d13CF3FA6C398B,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,2300000000000000,0,42.57,0,0,38.33,,,MintCube,1088,Metis,0
0xaf3637ab6697db0e7cb415c69b96b53ce5a92752f08dca2e9662a4b5aea956c8,19491271,1737138413,2025-01-17T18:26:53.000Z,0x463544C83bd14aad88Db07Ac3642AabB0De1ddDa,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,2300000000000000,0,42.57,0,0,38.33,,,MintCube,1088,Metis,0
0x7c83a92025ad05fd30e4cc4dea28c5a6b77a739353426c6b93776b17a17e03aa,19490391,1737130497,2025-01-17T16:14:57.000Z,0x3B021D9B15542e1450b31826498fC5ae973E517C,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,2300000000000000,0,42.57,0,0,38.33,,,MintCube,1088,Metis,0
0x4d61451b4688c492d4220a366fed05e19e7d3a31dd572cfddd9053cf371e2780,19490015,1737127170,2025-01-17T15:19:30.000Z,0xE9974307C20267df4d17339746C445Cf490FC259,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,2300000000000000,0,42.57,0,0,38.33,,,MintCube,1088,Metis,0
0xadfb43c11ed972a89b0757487cddc3ceb82836e2d200876ca1407e95860541cf,19488527,1737113596,2025-01-17T11:33:16.000Z,0x6413cF38aEab535e9D7Db64a6FEf32D1a44a2F29,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,2300000000000000,0,42.57,0,0,38.33,,,MintCube,1088,Metis,0
0x74fb2f7fea5522ed4cc3a5b21f69ed735ab8158cd2f08a1773343328fe3803bc,19488166,1737110363,2025-01-17T10:39:23.000Z,0x950C6430C3f8367C7E6a4AfA0285252CD12725BD,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,2300000000000000,0,42.57,0,0,38.33,,,MintCube,1088,Metis,0
0x5f88fc917eaceecb30e70b5c36d6d67acc1e48d8d9cbac05e6c5b64b88282842,19487830,1737107240,2025-01-17T09:47:20.000Z,0x079ad710B4ae73cDE3bA9F19518b703a995e7F3C,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,2300000000000000,0,42.57,0,0,38.33,,,MintCube,1088,Metis,0
0xbb54ea6abd0d51063ab2e27aeeb0657fa1d2f635ebbe162d842c32e77ec2e57e,19485938,1737090162,2025-01-17T05:02:42.000Z,0xE412Ad34Ec8b1de84243A0154B7eED942f85204D,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,2300000000000000,0,42.57,0,0,38.33,,,MintCube,1088,Metis,0
0x634047f544ce330246b503fb47c45a70337592a66a07a95a358e9ed1d7c9476d,19484233,1737074198,2025-01-17T00:36:38.000Z,0x7AED7Eb9aCe976D64C95DA4BaF85D1C5634D607a,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,2300000000000000,0,42.57,0,0,38.33,,,MintCube,1088,Metis,0
0xd8ce28d69b44f840e84d27962a2b14b6325483f112f6a73c0a9a904dd13331a7,19483950,1737071785,2025-01-16T23:56:25.000Z,0x48372c55e8863Cf3082341E3fc2141C5bD5b3e00,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,2300000000000000,0,42.57,0,0,38.58465899433788,,,MintCube,1088,Metis,0
0x986a66fa53189f5f730922adc71c06404f4602f4ed023e19e94f480385fb39f0,19481204,1737045957,2025-01-16T16:45:57.000Z,0x88aB3767C54705aE5a9a06b34b3B606b68025a91,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,2300000000000000,0,42.57,0,0,38.58465899433788,,,MintCube,1088,Metis,0
0x36f559294454fc0bcd4e1738fde010e70a39148ed064612fa664d539631234a6,19481197,1737045883,2025-01-16T16:44:43.000Z,0x88aB3767C54705aE5a9a06b34b3B606b68025a91,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,2300000000000000,0,42.57,0,0,38.58465899433788,,,MintCube,1088,Metis,0
0xf5810037c9100f9cec5f3be31d8bb9fb9c7c7a91ae9f8c416d3d06b48c0cf4ba,19479661,1737031672,2025-01-16T12:47:52.000Z,0xA44dd0CF1de1C461fDE0B7B92C374789B59784C9,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,2300000000000000,0,42.57,0,0,38.58465899433788,,,MintCube,1088,Metis,0
0x5a61712db7eb6d7dce5ec7ccb90f66714fcb494bc066567f0fcab5ca1fa374eb,19479340,1737028753,2025-01-16T11:59:13.000Z,0x79cbEd42d632D00A0E990EE4859Ac4B3C70E68Bc,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,2300000000000000,0,42.57,0,0,38.58465899433788,,,MintCube,1088,Metis,0
0x3736f424aa3ddfa6755e1c5335799b85e2b3db711c16d4b6fce62c5e62d8fb66,19479265,1737028016,2025-01-16T11:46:56.000Z,0x9b459850fb94Df8b678a1882EAC1e8967290897F,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,0x1195Cf65f83B3A5768F3C496D3A05AD6412c64B7,2300000000000000,0,42.57,0,0,38.58465899433788,,,MintCube,1088,Metis,0
