Transaction Hash,Blockno,UnixTimestamp,DateTime (UTC),From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method,ChainId,Chain,Value(ETH)
0x1ed29981779263f9c0195808b0d67e128c843fc40204f5fcc1f163505f40ae90,19495034,1737172200,2025-01-18T03:50:00.000Z,0x41d9f14B9b3D520D7Df16d1E77BDb1ec2f0AB5E7,0xDdb8BF987606E3521394f70DA9162868945B7E98,0xDdb8BF987606E3521394f70DA9162868945B7E98,0,0,42.57,0,0,42.57,,,MintNFT,1088,Metis,0
0x9d591a06c56aff36d70a48fa2fba266ae2d613478b891007929ee6742f2290e5,19495032,1737172182,2025-01-18T03:49:42.000Z,0x72A8f689F6d00558182C732dc68804c1FF27cb64,0xDdb8BF987606E3521394f70DA9162868945B7E98,0xDdb8BF987606E3521394f70DA9162868945B7E98,0,0,42.57,0,0,42.57,,,MintNFT,1088,Metis,0
0x8c3839e8e5fd708eee5c12f1e04f2c9ecc9d11ad0ecd70fe10c19eb0efc994ca,19495019,1737172062,2025-01-18T03:47:42.000Z,0x2B52bd9b533c21aa5b7CD9cf54711B765aED81A8,0xDdb8BF987606E3521394f70DA9162868945B7E98,0xDdb8BF987606E3521394f70DA9162868945B7E98,0,0,42.57,0,0,42.57,,,MintNFT,1088,Metis,0
0x96fdd07c9c99ab8c8a551e45592f05002337f903598ceb299d4bd885dc96a11d,19495017,1737172044,2025-01-18T03:47:24.000Z,0xaCC26D43742899138a0A2E1cfE59221566CDcB68,0xDdb8BF987606E3521394f70DA9162868945B7E98,0xDdb8BF987606E3521394f70DA9162868945B7E98,0,0,42.57,0,0,42.57,,,MintNFT,1088,Metis,0
0x54d5c213ccdb7559bec820251d230531d6dcc7aaa911b0ee82cff7862ee8b7b7,19495014,1737172022,2025-01-18T03:47:02.000Z,0xd13f83396c7404Db356792983271f8F752FA6436,0xDdb8BF987606E3521394f70DA9162868945B7E98,0xDdb8BF987606E3521394f70DA9162868945B7E98,0,0,42.57,0,0,42.57,,,MintNFT,1088,Metis,0
0xf1f7ce36c059d652646d9a8ba798e9373486188d7293faba768447cade57779c,19494998,1737171858,2025-01-18T03:44:18.000Z,0x5a77DF5962d90d1beA93e766b035a82ba2f60050,0xDdb8BF987606E3521394f70DA9162868945B7E98,0xDdb8BF987606E3521394f70DA9162868945B7E98,0,0,42.57,0,0,42.57,,,MintNFT,1088,Metis,0
0xc8f80e0e9e224d1bc40beda311097d196af482e07c5f43304741bc23138f0679,19494994,1737171828,2025-01-18T03:43:48.000Z,0x1bD444512C12e7340dEAd02e8D375767BE46c57B,0xDdb8BF987606E3521394f70DA9162868945B7E98,0xDdb8BF987606E3521394f70DA9162868945B7E98,0,0,42.57,0,0,42.57,,,MintNFT,1088,Metis,0
0xa89264959944b6b2379dcff133c953e375bcc452a68f010e8e98ac47b60c13f1,19494993,1737171820,2025-01-18T03:43:40.000Z,0xa3E193F894bc0F4909689C57B806F9aaD3706F6D,0xDdb8BF987606E3521394f70DA9162868945B7E98,0xDdb8BF987606E3521394f70DA9162868945B7E98,0,0,42.57,0,0,42.57,,,MintNFT,1088,Metis,0
0xe13a312035e4468c1891a0b57a9d22bd16df5f819647b5f5f3c33e8b9aaec0f7,19494981,1737171710,2025-01-18T03:41:50.000Z,0x23dA03bA0B44CF9BA881a5d90e4c07906e36692C,0xDdb8BF987606E3521394f70DA9162868945B7E98,0xDdb8BF987606E3521394f70DA9162868945B7E98,0,0,42.57,0,0,42.57,,,MintNFT,1088,Metis,0
0x27548ff262b343da08bee812f64ea36e78a89260b1aa879cdb394c979f37aed2,19494978,1737171682,2025-01-18T03:41:22.000Z,0x910fdACd8048361Dc0535B2e5A9151C676Dca70b,0xDdb8BF987606E3521394f70DA9162868945B7E98,0xDdb8BF987606E3521394f70DA9162868945B7E98,0,0,42.57,0,0,42.57,,,MintNFT,1088,Metis,0
