Transaction Hash,Blockno,UnixTimestamp,DateTime (UTC),From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method,ChainId,Chain,Value(ETH)
0xba2dd727a7aa5b6b4750949b9f1107a21f70474d9d16b119a23f1a13701959e6,19494808,1737170110,2025-01-18T03:15:10.000Z,0xe93685f3bBA03016F02bD1828BaDD6195988D950,0xE6AB3B3E632f3C65c3cb4c250DcC42f5E915A1cf,0xE6AB3B3E632f3C65c3cb4c250DcC42f5E915A1cf,0,0,42.57,0,0,42.57,,,Na,1088,Metis,0
0x8e33301784b6de7e9379f7908700c49115925a6c81bc1babba6cb138ef95bf52,19494804,1737170071,2025-01-18T03:14:31.000Z,0xe93685f3bBA03016F02bD1828BaDD6195988D950,0xE6AB3B3E632f3C65c3cb4c250DcC42f5E915A1cf,0xE6AB3B3E632f3C65c3cb4c250DcC42f5E915A1cf,0,0,42.57,0,0,42.57,,,Na,1088,Metis,0
0xfcaef026c0e044efc5916434436bcab94da0561b1922870ca0a743adcf93cb29,19494803,1737170065,2025-01-18T03:14:25.000Z,0xe93685f3bBA03016F02bD1828BaDD6195988D950,0xE6AB3B3E632f3C65c3cb4c250DcC42f5E915A1cf,0xE6AB3B3E632f3C65c3cb4c250DcC42f5E915A1cf,0,0,42.57,0,0,42.57,,,Na,1088,Metis,0
0xb4c5012e6df123537f29cb42d37eaa90fe9d7697ef9bd69ac88495d377d35139,19494800,1737170033,2025-01-18T03:13:53.000Z,0xe93685f3bBA03016F02bD1828BaDD6195988D950,0xE6AB3B3E632f3C65c3cb4c250DcC42f5E915A1cf,0xE6AB3B3E632f3C65c3cb4c250DcC42f5E915A1cf,0,0,42.57,0,0,42.57,,,Na,1088,Metis,0
0x24237adbf39d8962bd82cba4b9908edd6d8d3f532e839a741fd3d4cb95c34047,19494799,1737170025,2025-01-18T03:13:45.000Z,0xe93685f3bBA03016F02bD1828BaDD6195988D950,0xE6AB3B3E632f3C65c3cb4c250DcC42f5E915A1cf,0xE6AB3B3E632f3C65c3cb4c250DcC42f5E915A1cf,0,0,42.57,0,0,42.57,,,Na,1088,Metis,0
0x4b45c2a0ab72744c93f78b934a1c389b518bd2d76cb8379f506c04950ed31521,19494797,1737170011,2025-01-18T03:13:31.000Z,0xe93685f3bBA03016F02bD1828BaDD6195988D950,0xE6AB3B3E632f3C65c3cb4c250DcC42f5E915A1cf,0xE6AB3B3E632f3C65c3cb4c250DcC42f5E915A1cf,0,0,42.57,0,0,42.57,,,Na,1088,Metis,0
0x670b1078745d02065612ee3fd78aa6fd9a6f62c259067d449ed2785a63de19a4,19494687,1737169083,2025-01-18T02:58:03.000Z,0xe93685f3bBA03016F02bD1828BaDD6195988D950,0xE6AB3B3E632f3C65c3cb4c250DcC42f5E915A1cf,0xE6AB3B3E632f3C65c3cb4c250DcC42f5E915A1cf,0,0,42.57,0,0,42.57,,,Na,1088,Metis,0
0xe370afdcd77bbc2c5f561f713cbb2999269c07c1de8c4eb36049d8b45dade239,19494681,1737169033,2025-01-18T02:57:13.000Z,0xe93685f3bBA03016F02bD1828BaDD6195988D950,0xE6AB3B3E632f3C65c3cb4c250DcC42f5E915A1cf,0xE6AB3B3E632f3C65c3cb4c250DcC42f5E915A1cf,0,0,42.57,0,0,42.57,,,Na,1088,Metis,0
0xa0a93832a2fea50c67a8968a7314a17560712516ce3a06dcc4bc5efc898873d8,19494594,1737168237,2025-01-18T02:43:57.000Z,0xe93685f3bBA03016F02bD1828BaDD6195988D950,0xE6AB3B3E632f3C65c3cb4c250DcC42f5E915A1cf,0xE6AB3B3E632f3C65c3cb4c250DcC42f5E915A1cf,0,0,42.57,0,0,42.57,,,Na,1088,Metis,0
0x83900fd15c15189ab82d7db7307aa5d5b71fe9a1be6b6a8f2cc308e0f6a9e954,19494563,1737167955,2025-01-18T02:39:15.000Z,0xe93685f3bBA03016F02bD1828BaDD6195988D950,0xE6AB3B3E632f3C65c3cb4c250DcC42f5E915A1cf,0xE6AB3B3E632f3C65c3cb4c250DcC42f5E915A1cf,0,0,42.57,0,0,42.57,,,Na,1088,Metis,0
