Rank,Address,Address_Nametag,Quantity,Percentage,Value
"1","0x3980c9ed79d2c191a89e02fa3529c60ed6e9c04b","Metis Andromeda: Bridge","7,397,135.153798035277895598","73.9714%","$286,195,159.10"
"2","0x0fe382b74c3894b65c10e5c12ae60bbd8faf5b48","","454,651.273706543115577067","4.5465%","$17,590,457.78"
"3","0x8c33bb896f6384a75a81413a3205d108c01da13d","","100,000","1.0000%","$3,869,000.00"
"4","0x03aabb5965e9b88cddbf0c62949b1dd7dceb0d13","","85,105","0.8511%","$3,292,712.45"
"5","0x02b4e003484b0b8dc23ba03c312b3a3ca7a8941b","","83,735.2973127583181538","0.8374%","$3,239,718.65"
"6","0x12d97d45c2c4f267be76f3870e464e167f11e811","","81,449.196202448141215774","0.8145%","$3,151,269.40"
"7","0x9951a4f8ddc83e733a83df0566b3048291541429","","79,700.8","0.7970%","$3,083,623.95"
"8","0x2dc53e39fc826fb63bd0ebb785beff41621788e1","","72,511.8208361677690397","0.7251%","$2,805,482.35"
"9","0xc0b04c7bdb771f0b18cb3be4de02eae6a819123b","","71,662.59186133973122278","0.7166%","$2,772,625.68"
"10","0xec4b9b7b45f2dda57617f1fbf7581c31ae8ad52b","","67,117.249236487178320707","0.6712%","$2,596,766.37"
"11","0x437786c2fec433d7f626ce776f16dae98f09471d","","60,000","0.6000%","$2,321,400.00"
"12","0x5bdf85216ec1e38d6458c870992a69e38e03f7ef","Bitget 5","46,695.650021536406","0.4670%","$1,806,654.70"
"13","0x1c98562a2fab5af19d8fb3291a36ac3c618835d9","Uniswap V3: Metis","34,705.728878919032542627","0.3471%","$1,342,764.65"
"14","0x6e32c8c30add8460437ec7feef25ee77b3281477","","31,200","0.3120%","$1,207,128.00"
"15","0x8b94f9c38a6cacc49cbd48ad867c0a9c2f89eb11","","27,511.241358218010796729","0.2751%","$1,064,409.93"
"16","0xad8523cea4e5201adbeecd54e01b4fff1e83fd9f","","24,658.500536","0.2466%","$954,037.39"
"17","0x28c6c06298d514db089934071355e5743bf21d60","Binance 14","19,912.371559637234587395","0.1991%","$770,409.66"
"18","0x6ee80043248cddf48ccdd1c60d22918c0f36c95e","","16,576.25068","0.1658%","$641,335.14"
