Transaction Hash,Blockno,UnixTimestamp,DateTime (UTC),From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method,ChainId,Chain,Value(ETH)
0x769f6ef6e41b3cbd6ec6334349088c607d3885f3c2b3b7e4f37a201ccd88dd93,19344883,1735688594,2024-12-31T23:43:14.000Z,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,0x76C41D9E771DB5bdDCffb432AC951ec42ddF186D,0x76C41D9E771DB5bdDCffb432AC951ec42ddF186D,0,71999000000000000000,42.57,0,0,43.587853946788925,,,Transfer,1088,Metis,0
0x7613cd40b5be03064d09364a113e73a4aff4709aae4ab0c45b22da8478290695,19344791,1735687606,2024-12-31T23:26:46.000Z,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,0x76C41D9E771DB5bdDCffb432AC951ec42ddF186D,0x76C41D9E771DB5bdDCffb432AC951ec42ddF186D,0,71999000000000000000,42.57,0,0,43.587853946788925,,,Transfer,1088,Metis,0
0x2f4811f20f69567b63f8b31aa92276d3e4d3130e230b0aa4b8517cec7769f5a8,19344705,1735686652,2024-12-31T23:10:52.000Z,0x62B014B27a1f6054Ea1800Fc40EBcFF6912d6D3A,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,301858876207753130000,0,42.57,0,0,43.587853946788925,,,Transfer,1088,Metis,0
0xf006d3e6bd56b700fd5d6fc24147006761b1314a8d2e503e512597c58aad4d87,19344631,1735685834,2024-12-31T22:57:14.000Z,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,0x76C41D9E771DB5bdDCffb432AC951ec42ddF186D,0x76C41D9E771DB5bdDCffb432AC951ec42ddF186D,0,71999000000000000000,42.57,0,0,43.587853946788925,,,Transfer,1088,Metis,0
0xbcfbebf612a8eac90bda652351f6fb9bca6b22cbb4c14797fde8ec89a0a29cdc,19344516,1735684755,2024-12-31T22:39:15.000Z,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,0x76C41D9E771DB5bdDCffb432AC951ec42ddF186D,0x76C41D9E771DB5bdDCffb432AC951ec42ddF186D,0,71999000000000000000,42.57,0,0,43.587853946788925,,,Transfer,1088,Metis,0
0xdadf47d41c853629c7eff3e9c0d77aab27dc632b98a429013b2296b0ce4eca4d,19344332,1735682957,2024-12-31T22:09:17.000Z,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,0x76C41D9E771DB5bdDCffb432AC951ec42ddF186D,0x76C41D9E771DB5bdDCffb432AC951ec42ddF186D,0,71999000000000000000,42.57,0,0,43.587853946788925,,,Transfer,1088,Metis,0
0xa779526bad09346e9b056bc0388386eecf4ad79a6a7d72a9731a2ea632ef00d3,19343806,1735677648,2024-12-31T20:40:48.000Z,0x34ba2A32D54fB657e88351F722349e5179f92C2B,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,1907673469894637800,0,42.57,0,0,43.587853946788925,,,Transfer,1088,Metis,0
0xbdd1ddb9ff340a7e293740094f3e65a7787838bfafe04a02fdd0210323c08446,19343499,1735674259,2024-12-31T19:44:19.000Z,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,0x76C41D9E771DB5bdDCffb432AC951ec42ddF186D,0x76C41D9E771DB5bdDCffb432AC951ec42ddF186D,0,71999000000000000000,42.57,0,0,43.587853946788925,,,Transfer,1088,Metis,0
0x0de3fb4adab98d480eaa595f79efbf2ee22a3ed797ef8aa07f7c212622e6b967,19343204,1735671354,2024-12-31T18:55:54.000Z,0x9F4AC3e26B1C5cD635cD6c613c3E42F910604267,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,10299400000000000000,0,42.57,0,0,43.587853946788925,,,Transfer,1088,Metis,0
0xc8eb2c51baf28949b90dcccf5b2ab41dde94d3c9a07a3208b547ac1ac41d322f,19343131,1735670682,2024-12-31T18:44:42.000Z,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,0x6e97e1C453F74cE0675296225e8ad880E5619aeA,0x6e97e1C453F74cE0675296225e8ad880E5619aeA,0,9999000000000000000,42.57,0,0,43.587853946788925,,,Transfer,1088,Metis,0
